Date,Ticker,Action,Firm,To Grade,From Grade
2018-01-25,ABT,main,Morgan Stanley,Overweight,Overweight
2018-01-25,ABT,main,Barclays,Overweight,Overweight
2018-01-30,ABT,main,Citigroup,Neutral,Neutral
2018-04-24,ABT,main,Citigroup,Neutral,Neutral
2018-06-27,ABT,init,Bernstein,Outperform,
2018-07-19,ABT,main,Stifel Nicolaus,Buy,Buy
2018-09-24,ABT,main,Raymond James,Outperform,Outperform
2018-09-24,ABT,main,Wells Fargo,Outperform,Outperform
2018-10-08,ABT,main,JP Morgan,Overweight,Overweight
2018-10-11,ABT,main,Morgan Stanley,Overweight,Overweight
2018-10-16,ABT,init,Barclays,Overweight,
2018-10-18,ABT,main,Raymond James,Outperform,Outperform
2018-11-28,ABT,init,UBS,Buy,
2018-11-30,ABT,up,Goldman Sachs,Buy,Neutral
2018-12-04,ABT,main,Morgan Stanley,Overweight,Overweight
2018-12-18,ABT,init,Credit Suisse,Outperform,
2019-01-02,ABT,main,Morgan Stanley,Overweight,Overweight
2019-01-02,ABT,down,Citigroup,Sell,Neutral
2019-06-13,ABT,main,Wells Fargo,Outperform,
2019-07-16,ABT,main,Morgan Stanley,Overweight,
2019-07-18,ABT,main,BMO Capital,Outperform,
2019-07-18,ABT,main,Raymond James,Outperform,
2019-10-14,ABT,main,Raymond James,Outperform,
2019-10-17,ABT,main,Credit Suisse,Outperform,
2019-12-17,ABT,main,Morgan Stanley,Overweight,
2020-01-02,ABT,down,Guggenheim Securities,Neutral,Buy
2020-01-23,ABT,main,UBS,Buy,
2020-01-23,ABT,main,Stifel Nicolaus,Buy,
2020-01-23,ABT,main,Wells Fargo,Overweight,
2020-01-23,ABT,main,Stifel,Buy,
2020-01-23,ABT,main,Raymond James,Outperform,
2020-02-13,ABT,init,Goldman Sachs,Neutral,
2020-03-05,ABT,init,Citigroup,Buy,
2020-03-06,ABT,main,Credit Suisse,Outperform,
2020-03-27,ABT,main,Citigroup,Buy,
2020-03-27,ABT,main,Morgan Stanley,Overweight,
2020-04-03,ABT,main,JP Morgan,Overweight,
2020-04-08,ABT,main,SVB Leerink,Market Perform,
2020-04-09,ABT,main,Wells Fargo,Overweight,
2020-04-16,ABT,main,CFRA,Buy,
2020-04-17,ABT,main,Raymond James,Outperform,
2020-04-17,ABT,main,Wells Fargo,Overweight,
2020-04-17,ABT,main,Credit Suisse,Outperform,
2020-04-17,ABT,main,Citigroup,Buy,
2020-04-17,ABT,main,UBS,Buy,
2020-04-17,ABT,main,JP Morgan,Overweight,
2020-06-25,ABT,main,Morgan Stanley,Overweight,
2020-07-20,ABT,main,B of A Securities,Buy,
2020-08-27,ABT,main,Morgan Stanley,Overweight,
2020-08-31,ABT,main,Credit Suisse,Outperform,
2020-09-11,ABT,init,Wolfe Research,Outperform,
2013-03-11,ABBV,main,Bank of America,Buy,
2013-04-01,ABBV,down,BMO Capital,Market Perform,Outperform
2013-04-05,ABBV,main,BMO Capital,Market Perform,
2013-04-09,ABBV,main,Goldman Sachs,Buy,
2013-04-10,ABBV,main,Jefferies,Buy,
2013-04-10,ABBV,main,UBS,Neutral,
2013-04-22,ABBV,up,Morgan Stanley,Overweight,Equal-Weight
2013-04-29,ABBV,main,BMO Capital,Market Perform,
2013-05-15,ABBV,init,Cowen & Co.,Outperform,
2013-05-28,ABBV,main,Jefferies,Buy,
2013-06-07,ABBV,main,Jefferies,Buy,
2013-08-12,ABBV,init,Argus,Buy,
2013-10-08,ABBV,init,Credit Suisse,Outperform,
2013-10-25,ABBV,up,BMO Capital,Outperform,Market Perform
2013-12-19,ABBV,down,Morgan Stanley,Equal-weight,Overweight
2013-12-31,ABBV,main,Bank of America,Buy,
2014-01-27,ABBV,main,Morgan Stanley,Equal-Weight,
2014-02-21,ABBV,main,Bank of America,Buy,
2014-04-14,ABBV,main,Jefferies,Buy,
2014-04-24,ABBV,main,Bank of America,Buy,
2014-05-07,ABBV,up,Morgan Stanley,Overweight,Equal-weight
2014-06-20,ABBV,main,Credit Suisse,Outperform,
2014-07-02,ABBV,up,Barclays,Overweight,Equal-weight
2014-07-14,ABBV,main,Jefferies,Buy,
2014-07-18,ABBV,main,Jefferies,Buy,
2014-07-28,ABBV,up,UBS,Buy,Neutral
2014-08-06,ABBV,main,Credit Suisse,Outperform,
2014-10-02,ABBV,init,Guggenheim,Buy,
2014-10-17,ABBV,init,ISI Group,Buy,
2014-11-03,ABBV,main,JP Morgan,Overweight,
2014-11-04,ABBV,main,Jefferies,Buy,
2014-11-14,ABBV,init,Deutsche Bank,Outperform,
2014-12-04,ABBV,main,Jefferies,Buy,
2014-12-11,ABBV,down,Morgan Stanley,Equal-Weight,Overweight
2015-01-09,ABBV,down,Bank of America,Neutral,Buy
2015-01-15,ABBV,main,Jefferies,Buy,
2015-01-16,ABBV,main,Barclays,Overweight,
2015-02-03,ABBV,main,Jefferies,Buy,
2015-02-09,ABBV,init,Citigroup,Sell,
2015-04-13,ABBV,up,BMO Capital,Outperform,Market Perform
2015-04-24,ABBV,main,BMO Capital,Outperform,
2015-06-08,ABBV,main,Jefferies,Buy,
2015-06-16,ABBV,init,PiperJaffray,Overweight,
2015-07-22,ABBV,init,SunTrust Robinson Humphrey,Buy,
2015-07-29,ABBV,main,Deutsche Bank,Buy,
2015-09-28,ABBV,up,Citigroup,,Neutral
2015-11-02,ABBV,up,Morgan Stanley,Overweight,Equal-Weight
2015-12-01,ABBV,down,Barclays,Equal-Weight,Overweight
2015-12-18,ABBV,init,Atlantic Equities,Neutral,
2016-01-14,ABBV,main,Jefferies,Buy,
2016-02-05,ABBV,init,William Blair,Outperform,
2016-02-23,ABBV,up,Citigroup,Buy,Neutral
2016-03-07,ABBV,main,Goldman Sachs,Buy,
2016-03-15,ABBV,init,Deutsche Bank,Hold,
2016-04-06,ABBV,init,Societe Generale,Sell,
2016-06-06,ABBV,down,Cowen & Co.,Market Perform,Outperform
2016-06-08,ABBV,down,Morgan Stanley,Equal-Weight,Overweight
2016-06-10,ABBV,down,BMO Capital,Market Perform,Outperform
2016-09-02,ABBV,init,Raymond James,Outperform,
2016-09-08,ABBV,down,JP Morgan,Neutral,Overweight
2016-10-18,ABBV,init,Leerink Swann,Market Perform,
2016-10-31,ABBV,down,Credit Suisse,Neutral,Outperform
2016-11-28,ABBV,down,Citigroup,Neutral,Buy
2017-03-10,ABBV,main,Goldman Sachs,Buy,Buy
2017-07-17,ABBV,main,Jefferies,Buy,
2017-07-17,ABBV,main,Deutsche Bank,Hold,
2017-08-17,ABBV,init,Evercore ISI Group,Outperform,
2017-09-15,ABBV,main,Jefferies,Buy,
